metin,turu,kategori
akılsızlık- akılsızlık etmek,Deyim,öğüt
akım derken bokum demek,Deyim,öğüt
"akın beyazın adı var, karanın esmerin tadı var",Atasözü,öğüt
akıntıya akıntıya karşı kürek çekmek,Deyim,öğüt
akıntıya kapılmak,Deyim,öğüt
akıp gitmek,Deyim,öğüt
"akil isen açma sırrın dostuna, çünkü dostun dostu vardır, o da söyler dostuna",Atasözü,öğüt
akla gelmeyen başa gelir,Atasözü,öğüt
aklı başa yaş getirir,Atasözü,öğüt
baş olmak,Deyim,öğüt
başa gelen çekilir,Atasözü,sabır
başı göğe ermek değmek,Deyim,sabır
başına devlet talih kuşu konmak,Deyim,sabır
başına iş çıkmak,Deyim,sabır
başından almak,Deyim,sabır
başını alıp gitmek,Deyim,öğüt
başını dinlemek,Deyim,öğüt
başköşeye kurulmak,Deyim,öğüt
baygınlık geçirmek,Deyim,eleştiri
beğenmeyen kızını küçük kızını vermesin,Deyim,öğüt
"bekâr gözü, kör gözü",Atasözü,eleştiri
bekçi kalmak,Deyim,sabır
bekle yârin köşesini!,Deyim,sabır
beklemeye almak,Deyim,sabır
bela getirmek,Deyim,eleştiri
"belaya çatmak girmek, uğramak",Deyim,sabır
bembeyaz kesilmek olmak,Deyim,sabır
beyninden vurulmuşa dönmek,Deyim,sabır
bez bağlamak,Deyim,sabır
bezini yıkamak,Deyim,sabır
bildiğini yapmak,Deyim,öğüt
"bilmemek ayıp değil, öğrenmemek sormamak ayıp",Atasözü,eleştiri
bin nasihatten bir musibet yeğdir,Atasözü,öğüt
binicinin sağı solu olmaz,Atasözü,sabır
"bir adama kırk gün deli dersen deli, akıllı dersen akıllı olur ne dersen o olur",Atasözü,öğüt
bir ayak üstünde bin yalan söylemek,Deyim,öğüt
"bir baba dokuz evladı besler, dokuz evlat bir babayı beslemez",Atasözü,sabır
bir daha mı,Deyim,öğüt
"bir deli kuyuya bir taş atar, kırk akıllı çıkaramazmış",Atasözü,öğüt
bir dirhem et bin ayıp örter,Atasözü,eleştiri
bir felaket bin nasihatten yeğdir,Atasözü,öğüt
bir iş akıl kârı olmamak,Deyim,öğüt
boş kalmak,Deyim,eleştiri
boş ol olsun,Deyim,eleştiri
boyunun ölçüsünü almak,Deyim,sabır
bu kadar kusur kadı kızında da bulunur,Atasözü,eleştiri
bugünkü akşamın işini yarına sabaha bırakma koyma,Atasözü,öğüt
bugünkü tavuk yarınki kazdan iyidir,Atasözü,sabır
burnundan gelmek,Deyim,sabır
burnunun dikine doğrusuna gitmek,Deyim,öğüt
burun buruna gelmek,Deyim,sabır
buyurun cenaze namazına!,Deyim,sabır
büyük oynamak,Deyim,sabır
büyük söz söylemek,Deyim,öğüt
büyük sözüme tövbe!,Deyim,öğüt
cahilin dostluğundan arifin düşmanlığı yeğdir,Atasözü,öğüt
camı çerçeveyi indirmek,Deyim,eleştiri
canı canına içine sığmamak,Deyim,sabır
canına minnet olmak,Deyim,sabır
cart curt etmek,Deyim,öğüt
cesaretini toplamak,Deyim,eleştiri
cevabı dikmek dayamak veya yapıştırmak,Deyim,sabır
"ceviz gölgesi yavuz gölgesi, söğüt gölgesi yiğit gölgesi",Atasözü,öğüt
cezasını çekmek,Deyim,eleştiri
cezaya çarptırmak,Deyim,öğüt
cılk çıkmak,Deyim,eleştiri
cin tutana bir muska yeter,Atasözü,öğüt
"civcivde gözün, et yemeye yüzün olsun",Atasözü,sabır
çakı gibi,Deyim,öğüt
çakılı kalmak,Deyim,öğüt
çakılıp kalmak,Deyim,öğüt
"çalı idi çırpı idi, evim idi ya, ayı idi uyu idi, kocam idi ya",Atasözü,eleştiri
çapraza almak,Deyim,öğüt
çarşı iti ev beklemez,Atasözü,sabır
"çatal kazık yere batmaz geçmez, çakılmaz",Atasözü,öğüt
çatır çatır çatlamak,Deyim,öğüt
çehre almak,Deyim,eleştiri
çekip almak,Deyim,eleştiri
çekiver kuyruğunu,Deyim,sabır
çenesini açmak,Deyim,eleştiri
çenesini dağıtmak,Deyim,öğüt
çırak çıkarmak,Deyim,sabır
çifte koşmak,Deyim,öğüt
çile çıkarmak doldurmak,Deyim,sabır
çileden çıkmak,Deyim,eleştiri
çivi çiviyi söker,Atasözü,öğüt
çobanın yağı çok olursa çarığına sürer,Atasözü,öğüt
çocuk çocuğunu düşürmek,Deyim,sabır
"çok söyleme arsız edersin, aç bırakma hırsız edersin",Atasözü,sabır
"dağ başına harman yapma, savurursun yel için; sel önüne değirmen yapma, öğütürsün sel için",Atasözü,öğüt
dağ dağlar gibi kadar,Deyim,öğüt
dağ doğura doğura bir fare doğurmuş,Atasözü,sabır
dalgalanmaya bırakmak,Deyim,sabır
"dam yandı, içindeki sıçan da birlikte yandı",Atasözü,eleştiri
damarı damarları kabarmak,Deyim,öğüt
dananın kuyruğu kopmak,Deyim,sabır
darmadağın etmek,Deyim,öğüt
darmadağın olmak,Deyim,öğüt
davetsiz gelen döşeksiz oturur,Atasözü,sabır
davul çalmak dövmek,Deyim,öğüt
dayak atmak,Deyim,öğüt
dayak yemek,Deyim,öğüt
dayayıp döşemek,Deyim,eleştiri
değirmenden gelenden poğaça umarlar,Atasözü,sabır
değirmene gelen nöbet bekler,Atasözü,sabır
değme sarhoşa yıkılana kadar gitsin,Atasözü,öğüt
deli dostun olacağına akıllı düşmanın olsun,Atasözü,öğüt
delik deşik olmak,Deyim,eleştiri
demir tavında dövülür,Atasözü,öğüt
demiri tavında dövmeli,Atasözü,öğüt
denk gelmek,Deyim,eleştiri
deve büyüktür amma beşini bir eşek yeder,Atasözü,öğüt
devletli ile deli bildiğini işler,Atasözü,öğüt
devletli yanını kaşısa yoksul para verecek sanır,Atasözü,sabır
dilenci bir olsa şekerle beslenir,Atasözü,sabır
dilinden kurtulamamak,Deyim,eleştiri
abdest almak,Deyim,eleştiri
abdestinden şüphesi olmamak,Deyim,eleştiri
ad takmak,Deyim,öğüt
adam gibi,Deyim,öğüt
adam olana çok bile,Deyim,sabır
adama benzemek dönmek,Deyim,öğüt
adı var,Deyim,sabır
aferin almak,Deyim,öğüt
ağaç olmak,Deyim,sabır
ağır kaçmak,Deyim,sabır
ağır ol!,Deyim,sabır
ağır yara almak,Deyim,sabır
ağız satmak,Deyim,öğüt
ağız yapmak,Deyim,öğüt
ağızda sakız gibi çiğnemek,Deyim,eleştiri
"bir işin, bir kimsenin arkasına düşmek takılmak",Deyim,öğüt
bir köşeye çekilmek,Deyim,sabır
bir lokma bir hırka,Deyim,sabır
bir şey akılda kalmak,Deyim,öğüt
bir şey akıldan çıkmak,Deyim,öğüt
"bir şey, bir şeyi ağır basmak",Deyim,öğüt
bir şey olmaya yüz tutmak,Deyim,öğüt
bir şeyde iş yok,Deyim,sabır
bir şeye akıl sır ermemek,Deyim,öğüt
bir şeye düşkün olmak,Deyim,öğüt
bir şeye gözü gözleri takılmak,Deyim,öğüt
bir şeye tuz biber ekmek,Deyim,eleştiri
bir şeye zihni takılmak,Deyim,öğüt
bir şeyi anlata anlata bitirememek,Deyim,öğüt
"bir şeyi, bir şeye nişan koymak",Deyim,öğüt
bir şeyi kendi hâlinde bırakmak,Deyim,öğüt
bir şeyin aması var,Deyim,eleştiri
bir şeyin başında beklemek durmak,Deyim,sabır
bir şeyin başını beklemek,Deyim,sabır
"bir şeyin, kimsenin üstüne toz kondurmamak",Deyim,eleştiri
bir şeyin makarasını çözmek,Deyim,eleştiri
bir şeyin orucunda olmak,Deyim,eleştiri
bir şeyin sınırlarını sınırını zorlamak,Deyim,öğüt
bir tahtası eksik,Deyim,öğüt
bir yer örümcek bağlamak,Deyim,öğüt
bir yere kakılıp kalmak,Deyim,sabır
bir yerin suyu mu çıktı?,Deyim,öğüt
birbirine girmek,Deyim,sabır
birbirinin gözünü çıkarmak,Deyim,öğüt
biri için iyi söylemek,Deyim,öğüt
biri için kötü söylemek,Deyim,öğüt
birinde akıl terelelli olmak,Deyim,sabır
birinden gözü su içmemek,Deyim,eleştiri
birine diş bilemek,Deyim,sabır
birine felfelek sokmak,Deyim,sabır
birine iş etmek,Deyim,sabır
birine koltuk vermek,Deyim,öğüt
birine meydan dayağı çekmek,Deyim,öğüt
birine söz gelmek,Deyim,eleştiri
birine söz getirmek,Deyim,eleştiri
birine yağcılık etmek,Deyim,öğüt
birine yuf borusu çalmak,Deyim,eleştiri
birini arayıp sormak,Deyim,eleştiri
birini ayağının altına almak,Deyim,öğüt
"birini, bir şeyi salık vermek",Deyim,öğüt
birini çiğ çiğ yemek,Deyim,eleştiri
birini dişine kestirmek,Deyim,öğüt
birini gafil avlamak,Deyim,sabır
birini hacı bekler gibi beklemek,Deyim,sabır
birini komalık etmek,Deyim,öğüt
birini veya bir şeyi göklere çıkarmak,Deyim,öğüt
birini veya bir şeyi gözü kesmemek,Deyim,öğüt
birini zıvanadan çıkarmak,Deyim,sabır
birinin adaletine sığınmak,Deyim,sabır
birinin ağzının içine bakmak,Deyim,sabır
birinin aklını çelmek,Deyim,sabır
birinin arkasını sıvamak,Deyim,öğüt
birinin başına dikilmek,Deyim,sabır
birinin başına gelmek,Deyim,sabır
"birinin, birilerinin takdirini kazanmak",Deyim,öğüt
birinin diline düşmek,Deyim,eleştiri
birinin ensesine yapışmak,Deyim,eleştiri
birinin etrafında dört dönmek pervane olmak,Deyim,eleştiri
birinin geçmişlerini karıştırmak,Deyim,eleştiri
birinin keli görünmek,Deyim,eleştiri
birinin kemiklerini kırmak,Deyim,öğüt
birinin kirli çamaşırlarını ortaya dökmek,Deyim,eleştiri
birinin kulağını bükmek,Deyim,öğüt
birinin künyesini okumak,Deyim,eleştiri
birinin leşini çıkarmak,Deyim,öğüt
birinin pastırmasını çıkarmak,Deyim,öğüt
birinin pestilini çıkarmak,Deyim,öğüt
birinin pöstekisini sermek,Deyim,öğüt
birinin üstüne başına etmek,Deyim,öğüt
birinin veya bir şeyin posasını çıkarmak,Deyim,öğüt
birinin yakasına sarılmak,Deyim,öğüt
birinin yoluna bakmak,Deyim,sabır
birinin yüzünü ağartmak,Deyim,öğüt
bis yapmak,Deyim,öğüt
boğaz durmaz,Deyim,öğüt
bok soyu bokun soyu,Deyim,öğüt
bir ilke imza atmak,Deyim,diğer
"bir inat, bir murat",Atasözü,sabır
bir iş aceleye gelmek,Deyim,diğer
bir iş birinin vaktini almak yemek,Deyim,diğer
bir iş çorba olmak çorbaya dönmek,Deyim,diğer
bir iş elinde olmak,Deyim,diğer
bir iş felce uğramak,Deyim,diğer
boş durmak,Deyim,sabır
boş durmamak,Deyim,diğer
boş düşmek,Deyim,diğer
boş eşek yorga gider,Atasözü,öğüt
boş gezenin boş kalfası,Deyim,öğüt
boş gezmek gezinmek,Deyim,diğer
boş gezmekten bedava çalışmak yeğdir,Atasözü,öğüt
boş gözlerle bakmak,Deyim,diğer
boş ite menzil olmaz,Atasözü,öğüt
boş kile dipsiz ambar,Deyim,diğer
boş konuşmamak,Deyim,diğer
boş koymak,Deyim,diğer
boş oturmak,Deyim,diğer
boş torba ile at tutulmaz,Atasözü,öğüt
boş vermek,Deyim,diğer
boş yerine vurmak,Deyim,diğer
boşa almak,Deyim,diğer
boşa çıkarmak,Deyim,diğer
boşa çıkmak,Deyim,diğer
boşa gitmek,Deyim,diğer
"boşa kodum dolmadı, doluya kodum almadı",Atasözü,eleştiri
"boşa koysan dolmaz, doluya koysan almaz",Deyim,eleştiri
boşa vermek,Deyim,diğer
"boşboğazı ateşe atmışlar, odunum yaş demiş",Atasözü,öğüt
boşta gezmek,Deyim,diğer
boşta kalmak,Deyim,diğer
boy almak sürmek,Deyim,diğer
boy atmak,Deyim,diğer
boy bos yerinde,Deyim,diğer
boy göstermek,Deyim,diğer
boy vermek,Deyim,diğer
boya tutmak,Deyim,diğer
"boya vurmak çekmek, sürmek",Deyim,diğer
boyası atmak,Deyim,diğer
boynu armut sapına dönmek,Deyim,diğer
boynu kıldan ince olmak,Deyim,diğer
boynuna almak,Deyim,sabır
boynuna geçirmek,Deyim,sabır
boynunda kalmak,Deyim,diğer
boynunu bükmek,Deyim,diğer
boynunu kırmak,Deyim,diğer
boynunu uzatmak,Deyim,diğer
boynunu vurmak,Deyim,diğer
boynuz çekmek,Deyim,diğer
boynuz dikmek,Deyim,diğer
boynuz eğmek,Deyim,diğer
boynuz isterken kulaktan olmak,Deyim,diğer
boynuz kulağı geçmek,Deyim,diğer
"boynuz kulaktan sonra çıkar, ama kulağı geçer",Atasözü,öğüt
"boynuz takmak takınmak, taktırmak",Deyim,diğer
boyu beraber,Deyim,diğer
"boyu boyuna, huyu huyuna",Deyim,diğer
boyu devrilsin devrilesi,Deyim,diğer
"boyuma göre boyumca boy buldum, huyuma göre huyumca huy bulmadım",Atasözü,diğer
boyun bir karış uzadı,Deyim,diğer
boyun bükmek,Deyim,diğer
boyun eğmek,Deyim,diğer
boyun kesmek,Deyim,diğer
boyun kırmak,Deyim,diğer
boyun olmak,Deyim,diğer
boyun vermek,Deyim,diğer
boyuna bosuna bakmadan,Deyim,diğer
boyunca çocuğu olmak,Deyim,diğer
boyunduruğa atmak almak,Deyim,diğer
boyunduruğa vurmak,Deyim,diğer
boyunduruk altına girmek,Deyim,diğer
boza gibi,Deyim,diğer
boza olmak,Deyim,diğer
bozacının şahidi şıracı,Atasözü,öğüt
bozdur bozdur harca,Deyim,öğüt
bozguna uğramak vermek,Deyim,diğer
bozuk çalmak,Deyim,diğer
bozuk plak gibi,Deyim,diğer
bozum etmek,Deyim,diğer
bozum olmak,Deyim,diğer
bozuntuya uğramak,Deyim,diğer
bozuntuya vermemek,Deyim,diğer
böcek çıkarmak,Deyim,diğer
böcek gibi,Deyim,diğer
böyle başa böyle tıraş,Atasözü,öğüt
böyle gelmiş böyle gider,Atasözü,diğer
bronz gibi,Deyim,diğer
bu abdestle daha çok namaz kılınır,Atasözü,sabır
bu işe rufailer karışır,Deyim,diğer
bu ne perhiz bu ne lahana turşusu!,Atasözü,diğer
bu sıcağa kar mı dayanır?,Atasözü,eleştiri
bucak bucak aramak,Deyim,diğer
bucak bucak kaçmak,Deyim,diğer
bugün bana ise yarın sana,Atasözü,diğer
"bugün git, yarın gel",Deyim,diğer
bugünden tezi yok,Deyim,diğer
bugünkü günde,Deyim,diğer
buğday başak verince orak pahaya çıkar,Atasözü,öğüt
buğday ekmeğin yoksa buğday dilin de mi yok?,Atasözü,eleştiri
"buğday ile koyun, geri yanı kalanı oyun",Atasözü,diğer
"buğdayım var deme ambara girmeyince, oğlum var deme yoksulluğa ermeyince düşmeyince",Atasözü,öğüt
buhar olmak,Deyim,diğer
buhran geçirmek,Deyim,diğer
buhrana tutulmak,Deyim,diğer
bukağı vurmak,Deyim,diğer
bukalemun gibi renkten renge girmek,Deyim,diğer
"bula bula bunu onu, bir şeyi, birini bulmak",Deyim,eleştiri
bulantı vermek,Deyim,diğer
bulaşık suyu gibi,Deyim,diğer
buldukça bunar bulmuş da bunuyor,Atasözü,diğer
"buldum bilemedim, bildim bulamadım",Atasözü,öğüt
buldumcuk olmak,Deyim,diğer
bulunmaz bursa hint kumaşı,Deyim,diğer
bulup buluşturmak,Deyim,diğer
bulut gibi,Deyim,diğer
bulut olmak,Deyim,diğer
buluttan nem kapmak,Deyim,diğer
buna değdi idi buna değmedi idi demek,Deyim,diğer
bunda bir iş var,Deyim,diğer
bundan iyisi can sağlığı,Deyim,sabır
burnu bile kanamamak,Deyim,diğer
burnu büyümek,Deyim,diğer
burnu çenesine değmek,Deyim,diğer
burnu kafdağı'na çıkmak varmak,Deyim,diğer
burnu kafdağı'nda olmak,Deyim,diğer
burnu kırılmak,Deyim,diğer
burnu sızlamak,Deyim,diğer
burnu sürtülmek,Deyim,diğer
burnu yere düşse almaz,Deyim,eleştiri
burnuna karıncalar dolmak,Deyim,diğer
burnuna koymak,Deyim,diğer
burnunda tütmek,Deyim,diğer
burnundan düşen bin parça olmak,Deyim,diğer
burnundan fitil fitil gelmek,Deyim,diğer
burnundan getirmek,Deyim,diğer
burnundan kıl aldırmamak,Deyim,diğer
burnundan solumak,Deyim,diğer
burnunu çekmek,Deyim,diğer
burnunu kırmak,Deyim,diğer
burnunu sıksan canı çıkacak,Deyim,eleştiri
burnunu sürtmek,Deyim,diğer
burnunun dibine sokulmak,Deyim,diğer
burnunun direği kırılmak düşmek,Deyim,diğer
burnunun direği sızlamak,Deyim,diğer
burnunun direğini kırmak,Deyim,diğer
burnunun ucundan ötesini ilerisini görmemek,Deyim,eleştiri
burnunun ucunu görmemek,Deyim,eleştiri
burnunun yeli harman savurmak,Deyim,diğer
burnunun yeli kırılmak,Deyim,diğer
burun bükmek,Deyim,diğer
burun kıvırmak,Deyim,diğer
burun şişirmek,Deyim,eleştiri
burun yapmak,Deyim,diğer
burusu tutmak,Deyim,diğer
buyruğu altına girmek,Deyim,diğer
buyur etmek,Deyim,diğer
buz bağlamak,Deyim,diğer
buz gibi,Deyim,diğer
buz kesilmek,Deyim,diğer
buz kesmek,Deyim,diğer
buz tutmak,Deyim,diğer
buz üstüne yazı yazmak,Deyim,diğer
buzdolabı gibi,Deyim,eleştiri
buzdolabına kaldırmak,Deyim,sabır
buzlar çözülmek,Deyim,diğer
"büğersen göl olur, açarsan çöl olur",Atasözü,sabır
bükemediğin eli öp başına ko,Atasözü,öğüt
bülbül gibi konuşmak okumak,Deyim,diğer
bülbül gibi konuşturmak söyletmek,Deyim,diğer
bülbül gibi söylemek,Deyim,diğer
bülbül gibi şakımak,Deyim,diğer
bülbül kesilmek,Deyim,diğer
"bülbülü altın kafese koymuşlar, 'ah vatanım' demiş",Atasözü,öğüt
bülbülün çektiği dili belası,Atasözü,öğüt
büyü bozmak,Deyim,diğer
büyü bozulmak,Deyim,diğer
büyük abdesti gelmek,Deyim,diğer
büyük balık küçük balığı yutar,Atasözü,öğüt
büyük başın derdi büyük olur,Atasözü,öğüt
büyük gelmek,Deyim,diğer
"büyük görmek bilmek, tutmak",Deyim,diğer
büyük laf etmek,Deyim,diğer
büyük lokma ye büyük söz söyleme,Atasözü,öğüt
büyük yemin etmek,Deyim,diğer
"büyükle büyük, küçükle küçük olmak",Deyim,diğer
"büyüklerin ellerinden, küçüklerin gözlerinden öpmek",Deyim,diğer
büyüklük göstermek,Deyim,öğüt
büyüklük satmak,Deyim,diğer
büyüklük taslamak,Deyim,diğer
büyümüş de küçülmüş,Deyim,diğer
büyüsüne kapılmak tutulmak,Deyim,diğer
büzülüp oturmak kalmak,Deyim,diğer
caddeyi tutmak,Deyim,diğer
cadı gibi,Deyim,diğer
cadı kazanı gibi kaynamak,Deyim,diğer
cafcafından geçilmemek,Deyim,diğer
cahil kalmak,Deyim,diğer
cahile söz laf anlatmak deveye hendek atlatmaktan güçtür zordur,Atasözü,öğüt
caka satmak,Deyim,diğer
caka yapmak,Deyim,diğer
cakasından geçilmemek,Deyim,diğer
cakasını bozmak,Deyim,diğer
cam gibi,Deyim,diğer
cama çıkmak,Deyim,diğer
camadan vurmak,Deyim,diğer
camadanı fora etmek,Deyim,diğer
cambaz ipte balık dipte gerek,Atasözü,öğüt
cami ne kadar büyük olsa imam gene bildiğini okur,Atasözü,öğüt
cami olmak,Deyim,diğer
cami yıkılmış ama mihrabı yerinde,Deyim,diğer
caminin mescidin mumunu yiyen kedinin gözü kör olur,Atasözü,öğüt
can alacak nokta yer,Deyim,diğer
can alıp can vermek,Deyim,diğer
can atmak,Deyim,diğer
can baş üstüne,Deyim,diğer
can başına sıçramak,Deyim,diğer
can beslemek,Deyim,diğer
can boğazdan gelir geçer,Atasözü,öğüt
can borcunu ödemek,Deyim,diğer
can bostanda bitmez,Atasözü,öğüt
can bulmak,Deyim,diğer
"can cana, baş başa",Deyim,diğer
can candan şirindir tatlıdır,Atasözü,öğüt
can canın yoldaşıdır,Atasözü,öğüt
can cümleden aziz,Atasözü,öğüt
can çekişmek,Deyim,diğer
can çekişmektense ölmek yeğdir,Atasözü,öğüt
can çıkmayınca huy çıkmaz,Atasözü,öğüt
can damarından yakalamak,Deyim,diğer
can derdinde olmak,Deyim,diğer
can kalmamak,Deyim,diğer
can kaygısına düşmek,Deyim,diğer
can olmak,Deyim,diğer
can sıkmak,Deyim,diğer
can simidi olmak,Deyim,diğer
can vermek,Deyim,diğer
can yakmak,Deyim,diğer
cana  can katmak,Deyim,diğer
cana gelecek kaza zarar mala gelsin,Atasözü,öğüt
cana gelecek mala gelsin,Atasözü,öğüt
cana kıymak,Deyim,diğer
cana minnet saymak bilmek,Deyim,diğer
canavar gibi,Deyim,diğer
canavar kesilmek,Deyim,diğer
canciğer kuzu sarması,Deyim,diğer
canciğer olmak,Deyim,diğer
"candan ahbap, kandan şarap olmaz",Atasözü,öğüt
candan geçmek,Deyim,diğer
canevinden vurmak,Deyim,diğer
canfes gibi,Deyim,diğer
canı acımak,Deyim,diğer
canı ağzına boğazına gelmek,Deyim,diğer
canı bayılmak,Deyim,diğer
canı burnuna gelmek,Deyim,diğer
canı burnundan çıkmak,Deyim,diğer
canı cana ölçmek,Deyim,diğer
canı cehenneme,Deyim,diğer
canı çekilmek,Deyim,diğer
canı çekmek,Deyim,diğer
canı çıkmak,Deyim,diğer
canı gelip gitmek,Deyim,diğer
canı gelmek,Deyim,diğer
canı gibi sevmek,Deyim,diğer
canı gitmek,Deyim,diğer
canı ile oynamak,Deyim,diğer
canı ile uğraşmak,Deyim,diğer
canı istemek,Deyim,diğer
canı isterse,Deyim,diğer
canı kaymak isteyen mandayı yanında taşır,Atasözü,öğüt
canı sıkılmak,Deyim,diğer
canı yanan eşek attan yüğrük olur,Atasözü,öğüt
canı yanmak,Deyim,diğer
canı yerine gelmek,Deyim,diğer
canım dese canın çıksın diyor sanmak,Deyim,eleştiri
canımı sokakta bulmadım,Atasözü,diğer
canımın içi,Deyim,diğer
canına acımamak,Deyim,diğer
canına değmek,Deyim,diğer
canına ezan okumak,Deyim,diğer
canına geçmek işlemek veya kâr etmek,Deyim,diğer
canına kastetmek,Deyim,diğer
canına kıymak,Deyim,diğer
canına okumak,Deyim,diğer
canına susamak,Deyim,diğer
canına tak demek etmek,Deyim,diğer
canına tükürdüğümün ,Deyim,diğer
canına yandığım ,Deyim,övgü
canına yetmek,Deyim,diğer
canından bezmek bıkmak veya usanmak,Deyim,diğer
canından geçmek,Deyim,diğer
canını almak,Deyim,diğer
canını bağışlamak,Deyim,diğer
canını bir yere dar atmak,Deyim,diğer
canını burnundan getirmek,Deyim,diğer
canını cehenneme göndermek yollamak,Deyim,diğer
canını çıkarmak,Deyim,diğer
canını dişine  takmak,Deyim,diğer
canını sıkmak,Deyim,diğer
canını sokakta bulmak,Deyim,diğer
canını vermek,Deyim,diğer
canını yakmak,Deyim,diğer
canının derdine düşmek,Deyim,diğer
canının derdine düşmek,Deyim,diğer
canının içine sokacağı gelmek,Deyim,diğer
cankulağı ile dinlemek,Deyim,diğer
cansız düşmek,Deyim,diğer
cart cart ötmek,Deyim,diğer
cart zırt kaba kâğıt,Deyim,diğer
cartayı çekmek,Deyim,diğer
cascavlak ortada kalmak,Deyim,diğer
cavlağı çekmek,Deyim,diğer
cayırtı koparmak,Deyim,diğer
cayırtı vermek,Deyim,diğer
cayırtıyı basmak,Deyim,diğer
caz yapmak,Deyim,diğer
ce demeye mi geldin?,Deyim,diğer
cebellezi etmek,Deyim,diğer
cebi para görmek,Deyim,diğer
cebine indirmek atmak,Deyim,diğer
cebini doldurmak,Deyim,diğer
cebir kullanmak,Deyim,diğer
cefa çekmek görmek,Deyim,diğer
cefaya katlanmak,Deyim,diğer
cefayı çekmeyen sefanın kadrini bilmez,Atasözü,diğer
cehennem gibi,Deyim,diğer
cehennem ol!,Deyim,diğer
cehennem olup gitmek,Deyim,diğer
cehenneme çevirmek,Deyim,diğer
cehenneme kadar yolu var,Deyim,diğer
cehennemi boylamak,Deyim,diğer
cehennemin bucağı dibi,Deyim,diğer
cehennemin dibine gitmek,Deyim,diğer
ceketini alıp çıkmak,Deyim,diğer
cellat gibi,Deyim,diğer
cemaat ne kadar çok olsa imam gene bildiğini okur,Atasözü,öğüt
cemaate uymak,Deyim,diğer
cemaatle namaz kılmak,Deyim,diğer
cemre düşmek,Deyim,diğer
cenaze gibi,Deyim,diğer
cenazeyi kaldırmak,Deyim,diğer
cendereye sokmak,Deyim,diğer
cennet gibi,Deyim,diğer
cennete çevirmek,Deyim,diğer
cennete dönmek,Deyim,diğer
cep harçlığını çıkarmak,Deyim,diğer
cep yakmak,Deyim,diğer
cephe açmak,Deyim,diğer
cepheden cepheye koşmak,Deyim,diğer
cepten harcamak,Deyim,diğer
cepten vermek,Deyim,diğer
ceremesini çekmek,Deyim,sabır
cereyan çarpmak,Deyim,diğer
cereyana kapılmak,Deyim,diğer
cereyanda kalmak,Deyim,diğer
cerre çıkmak,Deyim,diğer
cesaret göstermek,Deyim,diğer
cesarete gelmek,Deyim,diğer
cevahir yumurtlamak,Deyim,diğer
cevapsız bırakmak,Deyim,diğer
cevapsız kalmak,Deyim,diğer
cevher yumurtlamak,Deyim,diğer
ceviz kırmak,Deyim,diğer
ceylan gibi,Deyim,diğer
ceza almak,Deyim,diğer
ceza çekmek,Deyim,diğer
ceza görmek,Deyim,diğer
ceza vermek,Deyim,diğer
ceza yemek,Deyim,diğer
cezasını bulmak,Deyim,diğer
cezbeye tutulmak kapılmak,Deyim,diğer
cezve sürmek,Deyim,diğer
cıcığı çıkmak,Deyim,diğer
cıcığını çıkartmak,Deyim,diğer
cılk etmek,Deyim,diğer
cılkı çıkmak,Deyim,diğer
cıva gibi,Deyim,diğer
cız etmek,Deyim,diğer
cızlamı çekmek cızlam etmek,Deyim,diğer
ciddiye almak,Deyim,diğer
ciğer kebap olmak,Deyim,diğer
ciğeri beş on para etmemek,Deyim,diğer
ciğeri parçalanmak,Deyim,diğer
ciğeri sızlamak,Deyim,diğer
ciğeri yanmak,Deyim,diğer
ciğerimin köşesi,Deyim,diğer
ciğerine oturmak,Deyim,diğer
ciğerini delip  geçmek,Deyim,diğer
ciğerleri bayram etmek,Deyim,diğer
cihana gelmek,Deyim,diğer
cihanı tutmak,Deyim,diğer
cihat açmak,Deyim,diğer
cila çekmek,Deyim,diğer
cim karnında bir nokta,Deyim,diğer
cin çarpmak,Deyim,diğer
cin çarpmışa dönmek,Deyim,diğer
cin damarına basmak,Deyim,diğer
cin gibi,Deyim,diğer
cin ifrit olmak kesilmek,Deyim,diğer
cin olmadan şeytan adam çarpmak,Deyim,diğer
cini tutmak,Deyim,diğer
cinine gitmek,Deyim,diğer
cinleri ayağa kalkmak,Deyim,diğer
cinleri başına toplanmak üşüşmek,Deyim,diğer
cinleri cin tepesine çıkmak ,Deyim,diğer
cinnet geçirmek,Deyim,diğer
cinnet getirmek,Deyim,diğer
cins cinse çeker,Atasözü,öğüt
cins horoz yumurtada öter,Atasözü,öğüt
cins kedi ölüsünü göstermez,Atasözü,öğüt
cirit oynamak,Deyim,diğer
"cömert derler maldan ederler, yiğit derler candan ederler",Atasözü,öğüt
cömertle nekesin harcı birdir,Atasözü,eleştiri
cukkayı yutmak,Deyim,diğer
cumartesi kibarı gibi süslenmek,Deyim,diğer
cumburlopu çekmek,Deyim,diğer
cumhura muhalefet kuvveihatadandır,Atasözü,öğüt
cübbe gibi,Deyim,diğer
cümbüş yapmak,Deyim,diğer
çaba göstermek,Deyim,diğer
çaba harcamak,Deyim,diğer
çabalama kaptan ben gidemem,Atasözü,diğer
çağ açmak,Deyim,diğer
çağ atlamak,Deyim,diğer
çağ dışı olmak kalmak,Deyim,diğer
çağanoz gibi,Deyim,diğer
çağı geçmek,Deyim,diğer
çağı yakalamak,Deyim,diğer
çağın gerisinde kalmak,Deyim,diğer
çağını aşmak,Deyim,diğer
çağlamadan çatlamak,Deyim,diğer
